target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4387.81	0	0
NM_000015.3	1285	1062.81	0	0
NM_000016.6	2261	2038.81	3104.47	73.839
NM_000017.4	1859	1636.81	196.981	5.83582
NM_000018.4	2184	1961.81	992.959	24.5443
NM_000019.4	1537	1314.81	5404.06	199.311
NM_000020.3	4177	3954.81	0	0
NM_000021.4	6018	5795.81	1137.24	9.51511
NM_000022.4	1496	1273.81	237.818	9.05349
NM_000023.4	1429	1206.81	4.77002	0.191671
NM_000024.6	2013	1790.81	15	0.406179
NM_000025.3	2585	2362.81	0	0
NM_000026.4	4359	4136.81	231.195	2.71012
NM_000027.4	2037	1814.81	391.328	10.4565
NM_000028.2	7449	7226.81	0	0
NM_000030.3	2900	2677.81	4.65028	0.0842122
NM_000031.6	3129	2906.81	490.952	8.19027
NM_000032.5	1940	1717.81	9.22453	0.260402
NM_000033.4	3669	3446.81	177.925	2.5032
NM_000035.4	2420	2197.81	15	0.330961
NM_000036.3	2335	2112.81	0.000175751	4.03379e-06
NM_000037.4	8292	8069.81	0	0
NM_000038.6	10704	10481.8	2.28378e-06	1.05656e-08
NM_000039.3	899	676.811	4	0.286595
NM_000040.3	535	316.725	0	0
NM_000041.4	1166	943.811	831.22	42.7077
NM_000042.3	1174	951.811	0	0
NM_000043.6	3696	3473.81	263.973	3.68492
NM_000044.6	10667	10444.8	0	0
NM_000045.4	1447	1224.81	0	0
NM_000046.5	4852	4629.81	121.786	1.27558
NM_000047.3	2219	1996.81	0	0
NM_000048.4	2140	1917.81	155.187	3.92397
NM_000049.4	5422	5199.81	123.93	1.15576
NM_000050.4	1863	1640.81	262.127	7.74692
NM_000051.4	12915	12692.8	0	0
NM_000052.7	8492	8269.81	374.585	2.19649
NM_000053.4	6598	6375.81	0	0
NM_000054.7	1825	1602.81	4	0.121019
NM_000055.4	2405	2182.81	56.9226	1.26457
NM_000056.5	1506	1283.81	123.79	4.67585
NM_000057.4	5240	5017.81	1676.43	16.2011
NM_000059.4	11954	11731.8	58.4528	0.241611
NM_000061.3	2575	2352.81	18.3967	0.379165
NM_000062.3	1830	1607.81	28.5	0.859578
NM_000063.6	2610	2387.81	0	0
NM_000064.4	5231	5008.81	80	0.774517
NM_000065.5	3691	3468.81	0	0
NM_000066.4	2040	1817.81	0	0
NM_000067.3	1562	1339.81	561.57	20.3253
NM_000068.4	8660	8437.81	0.315048	0.0018106
NM_000069.3	6028	5805.81	3.13024e-07	2.61451e-09
NM_000070.3	3315	3092.81	41.7293	0.65428
NM_000071.3	2495	2272.81	2350.56	50.1515
NM_000072.3	2108	1885.81	0	0
NM_000073.3	2690	2467.81	0	0
NM_000074.3	1852	1629.81	8.0407	0.239239
NM_000075.4	1865	1642.81	4338.21	128.056
NM_000076.2	1943	1720.81	3.9643	0.111714
NM_000077.5	978	755.811	896.625	57.5272
NM_000078.3	1691	1468.81	0	0
NM_000079.4	1984	1761.81	0	0
NM_000080.4	2482	2259.81	15.5022	0.332657
NM_000081.4	13466	13243.8	501.655	1.83682
NM_000082.4	9414	9191.81	0	0
NM_000083.3	3187	2964.81	0	0
NM_000084.5	9472	9249.81	809.907	4.24598
NM_000085.5	2562	2339.81	12.0742	0.250239
NM_000086.2	1879	1656.81	96.2525	2.81718
NM_000087.5	2784	2561.81	13.8401	0.261979
NM_000088.4	5914	5691.81	550.837	4.69298
NM_000089.4	5072	4849.81	1	0.00999887
NM_000090.4	5490	5267.81	80	0.736437
NM_000091.5	8038	7815.81	110.192	0.683677
NM_000092.5	9984	9761.81	0	0
NM_000093.5	8442	8219.81	1381.29	8.14891
NM_000094.4	9231	9008.81	1046.4	5.63255
NM_000095.3	2452	2229.81	25	0.543685
NM_000096.4	4452	4229.81	0	0
NM_000097.7	2709	2486.81	797.545	15.5521
NM_000098.3	2699	2476.81	762.806	14.9347
NM_000099.4	793	570.968	467.637	39.7166
NM_000100.4	588	367.896	1192	157.118
NM_000101.4	692	470.591	871.654	89.8207
NM_000102.4	1750	1527.81	11	0.349139
NM_000103.4	4403	4180.81	0	0
NM_000104.4	5218	4995.81	91	0.883306
NM_000106.6	1588	1365.81	0	0
NM_000107.3	1815	1592.81	791.831	24.107
NM_000108.5	3537	3314.81	4152.8	60.7517
NM_000109.4	13854	13631.8	0	0
NM_000110.4	4423	4200.81	321.503	3.71131
NM_000111.3	2882	2659.81	2	0.0364632
NM_000112.4	8054	7831.81	771.026	4.774
NM_000113.3	2080	1857.81	1266	33.0452
NM_000115.5	4274	4051.81	0	0
NM_000116.5	1906	1683.81	0	0
NM_000117.3	1281	1058.81	1019	46.6693
NM_000118.4	3082	2859.81	9.13678	0.154928
NM_000119.3	2434	2211.81	0	0
NM_000120.4	1780	1557.81	0	0
NM_000121.4	2411	2188.81	152.571	3.38017
NM_000122.2	2718	2495.81	2146.11	41.698
NM_000123.4	3888	3665.81	2022.26	26.7511
NM_000124.4	9001	8778.81	308.76	1.70554
NM_000125.4	6327	6104.81	0	0
NM_000126.4	2289	2066.81	3577.17	83.9293
NM_000127.3	8243	8020.81	1325.07	8.01118
NM_000128.4	3053	2830.81	0	0
NM_000129.4	3828	3605.81	0	0
NM_000130.5	9132	8909.81	24.4699	0.13318
NM_000131.4	3144	2921.81	0	0
NM_000132.4	9032	8809.81	53.3702	0.29377
NM_000133.4	2800	2577.81	0	0
NM_000134.4	2226	2003.81	19.256	0.465998
NM_000135.4	5452	5229.81	1389.82	12.8869
NM_000136.3	4592	4369.81	379.909	4.21592
NM_000137.4	1456	1233.81	218.776	8.5986
NM_000138.5	11609	11386.8	244.294	1.04037
NM_000139.5	3648	3425.81	0	0
NM_000140.5	7689	7466.81	695.14	4.51453
NM_000141.5	4624	4401.81	23.8336	0.262564
NM_000142.5	4301	4078.81	0	0
NM_000143.4	1791	1568.81	1360	42.0382
NM_000144.5	6978	6755.81	364.239	2.61447
NM_000145.4	2762	2539.81	0	0
NM_000146.4	871	648.811	3474	259.649
NM_000147.5	2043	1820.81	335.477	8.93458
NM_000148.4	4214	3991.81	1564.36	19.0039
NM_000149.4	2565	2342.81	0	0
NM_000150.4	3326	3103.81	0	0
NM_000151.4	4164	3941.81	0	0
NM_000152.5	3751	3528.81	538.233	7.39635
NM_000153.4	3794	3571.81	0	0
NM_000154.2	1397	1174.81	314.629	12.9869
NM_000155.4	1756	1533.81	218.952	6.92233
NM_000156.6	1110	887.811	140.415	7.66951
NM_000157.4	2291	2068.81	260.082	6.09627
NM_000158.4	2941	2718.81	879.322	15.6836
NM_000159.4	1852	1629.81	288.692	8.58961
NM_000160.5	2030	1807.81	0.0224388	0.000601897
NM_000161.3	2916	2693.81	546.914	9.84526
NM_000162.5	2745	2522.81	0	0
NM_000163.5	4899	4676.81	87.4691	0.906944
NM_000164.4	3310	3087.81	0	0
NM_000165.5	3083	2860.81	2247	38.0881
NM_000166.6	1937	1714.81	0	0
NM_000167.6	4410	4187.81	0	0
NM_000168.6	8405	8182.81	129.229	0.76583
NM_000169.3	1318	1095.81	1030.56	45.6049
NM_000170.3	3843	3620.81	808	10.8213
NM_000171.4	1812	1589.81	0	0
NM_000172.4	2465	2242.81	52.757	1.14068
NM_000173.7	2514	2291.81	413	8.7387
NM_000174.5	877	654.811	0	0
NM_000175.5	4125	3902.81	3106.84	38.6026
NM_000176.3	6778	6555.81	51.4136	0.3803
NM_000177.5	2619	2396.81	373.653	7.55981
NM_000178.4	1909	1686.81	2999.12	86.2191
NM_000179.3	4265	4042.81	2305.89	27.6586
NM_000180.4	3680	3457.81	0	0
NM_000181.4	2199	1976.81	2.36537e-05	5.80242e-07
NM_000182.5	2943	2720.81	8455.95	150.709
NM_000183.3	1997	1774.81	1845.37	50.4205
NM_000184.3	586	365.896	0	0
NM_000185.4	2203	1980.81	0	0
NM_000186.4	3962	3739.81	6.19166	0.0802847
NM_000187.4	1674	1451.81	0	0
NM_000188.3	3602	3379.81	4432.44	63.5955
NM_000189.5	5626	5403.81	1051.6	9.43679
NM_000190.4	1505	1282.81	451.092	17.0521
NM_000191.3	1570	1347.81	726.212	26.1282
NM_000192.3	3921	3698.81	0	0
NM_000193.4	4650	4427.81	17.1993	0.188364
NM_000194.3	1395	1172.81	5682	234.936
NM_000195.5	3703	3480.81	0	0
NM_000196.4	1896	1673.81	0	0
NM_000197.2	1159	936.811	0	0
NM_000198.4	1675	1452.81	0	0
NM_000199.5	2705	2482.81	0	0
NM_000200.3	532	313.798	0	0
NM_000201.3	2967	2744.81	22.7017	0.401072
NM_000202.8	7580	7357.81	1487.84	9.80581
NM_000203.5	2174	1951.81	0	0
NM_000204.5	1978	1755.81	20.035	0.553334
NM_000206.3	1480	1257.81	6	0.231319
NM_000207.3	465	250.962	0	0
NM_000208.4	9463	9240.81	184.348	0.967398
NM_000209.4	2603	2380.81	173	3.52368
NM_000210.4	5816	5593.81	743.48	6.44521
NM_000211.5	2807	2584.81	0	0
NM_000212.3	5941	5718.81	29.3339	0.248736
NM_000213.5	5896	5673.81	0	0
NM_000214.3	5940	5717.81	275	2.33227
NM_000215.4	5386	5163.81	0.0381092	0.000357878
NM_000216.4	6265	6042.81	575.191	4.61581
NM_000217.3	7985	7762.81	1	0.00624679
NM_000218.3	3224	3001.81	23.2558	0.375684
NM_000219.6	3505	3282.81	0	0
NM_000220.6	2333	2110.81	10.7533	0.247041
NM_000221.3	2397	2174.81	218.494	4.87185
NM_000222.3	5147	4924.81	77.595	0.764046
NM_000223.4	1880	1657.81	6	0.175506
NM_000224.3	1413	1190.81	1586.7	64.6143
NM_000226.4	2296	2073.81	0	0
NM_000227.6	5618	5395.81	435.493	3.91381
NM_000228.3	4014	3791.81	1161.71	14.8568
NM_000229.2	1496	1273.81	98.2346	3.73968
NM_000230.3	3427	3204.81	0	0
NM_000231.3	1594	1371.81	3.70692	0.131037
NM_000232.5	4248	4025.81	1592.81	19.1861
NM_000233.4	3076	2853.81	0	0
NM_000234.3	3125	2902.81	177.128	2.95899
NM_000235.4	2496	2273.81	1516.63	32.3444
NM_000236.3	2559	2336.81	9	0.186765
NM_000237.3	3565	3342.81	136	1.97289
NM_000238.4	4292	4069.81	7.37561	0.0878819
NM_000239.3	1490	1267.81	1.02726	0.0392918
NM_000240.4	3931	3708.81	718.164	9.38998
NM_000242.3	3521	3298.81	1	0.0147
NM_000243.3	3506	3283.81	0	0
NM_000244.4	2746	2523.81	0.000393965	7.56966e-06
NM_000245.4	6822	6599.81	1121.35	8.23918
NM_000246.4	16061	15838.8	0	0
NM_000247.3	1366	1143.81	0	0
NM_000248.4	4475	4252.81	0	0
NM_000249.4	2494	2271.81	1164.42	24.8549
NM_000250.2	3216	2993.81	0	0
NM_000251.3	3115	2892.81	1981.67	33.219
NM_000252.3	3412	3189.81	254.161	3.86385
NM_000253.4	4043	3820.81	28.5122	0.361869
NM_000254.3	10547	10324.8	619.275	2.90855
NM_000255.4	3811	3588.81	885.759	11.9685
NM_000256.3	4217	3994.81	2	0.0242778
NM_000257.4	6027	5804.81	0	0
NM_000258.3	885	662.811	0	0
NM_000259.3	12238	12015.8	909.228	3.6694
NM_000260.4	7483	7260.81	1.48478e-08	9.91635e-11
NM_000261.2	2100	1877.81	0	0
NM_000262.3	3696	3473.81	614.957	8.58449
NM_000263.4	2475	2252.81	90.393	1.94574
NM_000264.5	8662	8439.81	149.784	0.860615
NM_000265.7	1349	1126.81	1	0.0430353
NM_000266.4	1719	1496.81	0	0
NM_000267.3	12381	12158.8	1012.58	4.03846
NM_000268.4	5950	5727.81	1.2216e-07	1.03422e-09
NM_000269.3	890	667.811	6234.15	452.688
NM_000270.4	1477	1254.81	2020	78.0636
NM_000271.5	4760	4537.81	1554.6	16.613
NM_000272.5	2690	2467.81	0	0
NM_000273.3	1645	1422.81	0	0
NM_000274.4	2039	1816.81	1070.14	28.5631
NM_000275.3	3143	2920.81	9.14772	0.151875
NM_000276.4	5173	4950.81	169.253	1.65782
NM_000277.3	3759	3536.81	0	0
NM_000278.5	4189	3966.81	0	0
NM_000280.6	2701	2478.81	148.862	2.91217
NM_000281.4	787	564.99	412.618	35.4146
NM_000282.4	2484	2261.81	183.978	3.94443
NM_000283.4	3294	3071.81	0	0
NM_000284.4	3349	3126.81	6708.98	104.047
NM_000285.4	1907	1684.81	642.219	18.4845
NM_000286.3	2617	2394.81	150	3.03736
NM_000287.4	3444	3221.81	546.479	8.22524
NM_000288.4	1454	1231.81	91.4827	3.60139
NM_000289.6	3090	2867.81	915.142	15.4744
NM_000290.4	837	614.835	1.1388	0.0898179
NM_000291.4	4812	4589.81	3576.79	37.7898
NM_000292.3	5077	4854.81	113.735	1.13605
NM_000293.3	5459	5236.81	120.046	1.11162
NM_000294.3	5384	5161.81	138.811	1.30406
NM_000295.5	3006	2783.81	0	0
NM_000296.4	14137	13914.8	768.294	2.67748
NM_000297.4	5089	4866.81	357.69	3.56401
NM_000298.6	3047	2824.81	13.3763	0.229627
NM_000299.4	5389	5166.81	0	0
NM_000300.4	991	768.811	0	0
NM_000301.5	3530	3307.81	2	0.0293201
NM_000302.4	2976	2753.81	2375.46	41.8301
NM_000303.3	2285	2062.81	654.874	15.3948
NM_000304.4	1828	1605.81	0	0
NM_000305.3	1610	1387.81	613.97	21.4532
NM_000306.4	1488	1265.81	3	0.114929
NM_000307.5	3838	3615.81	0	0
NM_000308.4	1858	1635.81	365.797	10.8438
NM_000309.5	1672	1449.81	7.52588	0.251722
NM_000310.4	2284	2061.81	4195.77	98.6822
NM_000311.5	2435	2212.81	1071.16	23.474
NM_000312.4	1769	1546.81	0	0
NM_000313.4	3372	3149.81	1174.16	18.0767
NM_000314.8	8515	8292.81	0	0
NM_000315.4	791	568.968	16	1.36366
NM_000316.3	2153	1930.81	0	0
NM_000317.3	872	649.811	645	48.1336
NM_000318.3	4169	3946.81	0	0
NM_000319.5	3213	2990.81	2.59973	0.0421516
NM_000320.3	1507	1284.81	303.511	11.4554
NM_000321.3	4768	4545.81	1797.58	19.1757
NM_000322.5	3001	2778.81	5	0.0872543
NM_000324.3	1895	1672.81	0	0
NM_000325.6	2294	2071.81	101.207	2.36885
NM_000326.5	1638	1415.81	0	0
NM_000327.4	1358	1135.81	28	1.19544
NM_000328.3	3053	2830.81	519.601	8.90091
NM_000329.3	2605	2382.81	0	0
NM_000330.4	3031	2808.81	0	0
NM_000331.6	665	443.904	0	0
NM_000332.4	10606	10383.8	124.245	0.580228
NM_000333.4	7250	7027.81	221.369	1.52747
NM_000334.4	7805	7582.81	288	1.84178
NM_000335.5	8516	8293.81	2.58501e-05	1.51142e-07
NM_000336.3	2560	2337.81	0	0
NM_000337.6	9383	9160.81	0	0
NM_000338.3	4708	4485.81	1.33333	0.0144136
