target_id	length	eff_length	est_counts	tpm
NM_000014.6	4610	4366.5	0	0
NM_000015.3	1285	1041.5	3	0.144844
NM_000016.6	2261	2017.5	3157.38	78.6961
NM_000017.4	1859	1615.5	165.265	5.14415
NM_000018.4	2184	1940.5	1470.28	38.1
NM_000019.4	1537	1293.5	5807.8	225.779
NM_000020.3	4177	3933.5	0	0
NM_000021.4	6018	5774.5	935.302	8.14475
NM_000022.4	1496	1252.5	356.541	14.3143
NM_000023.4	1429	1185.5	3.18684	0.135175
NM_000024.6	2013	1769.5	7	0.198924
NM_000025.3	2585	2341.5	2.58417	0.0554966
NM_000026.4	4359	4115.5	412.099	5.03522
NM_000027.4	2037	1793.5	383.71	10.7582
NM_000028.2	7449	7205.5	0	0
NM_000030.3	2900	2656.5	4.80709	0.090994
NM_000031.6	3129	2885.5	606.234	10.5647
NM_000032.5	1940	1696.5	0	0
NM_000033.4	3669	3425.5	189.946	2.78834
NM_000035.4	2420	2176.5	3	0.069311
NM_000036.3	2335	2091.5	0.00037913	9.11527e-06
NM_000037.4	8292	8048.5	0	0
NM_000038.6	10704	10460.5	0	0
NM_000039.3	899	655.567	5	0.383525
NM_000040.3	535	296.483	0	0
NM_000041.4	1166	922.504	685.988	37.3929
NM_000042.3	1174	930.504	0	0
NM_000043.6	3696	3452.5	195.453	2.84675
NM_000044.6	10667	10423.5	0	0
NM_000045.4	1447	1203.5	0	0
NM_000046.5	4852	4608.5	87.4808	0.954538
NM_000047.3	2219	1975.5	0	0
NM_000048.4	2140	1896.5	142.271	3.77228
NM_000049.4	5422	5178.5	88.5402	0.859759
NM_000050.4	1863	1619.5	246.094	7.64115
NM_000051.4	12915	12671.5	0	0
NM_000052.7	8492	8248.5	0	0
NM_000053.4	6598	6354.5	0	0
NM_000054.7	1825	1581.5	0	0
NM_000055.4	2405	2161.5	74.8705	1.74179
NM_000056.5	1506	1262.5	67.6382	2.69401
NM_000057.4	5240	4996.5	1318.04	13.2648
NM_000059.4	11954	11710.5	153.134	0.657563
NM_000061.3	2575	2331.5	82.0324	1.76925
NM_000062.3	1830	1586.5	9.9	0.313787
NM_000063.6	2610	2366.5	0	0
NM_000064.4	5231	4987.5	75	0.756168
NM_000065.5	3691	3447.5	0	0
NM_000066.4	2040	1796.5	0	0
NM_000067.3	1562	1318.5	591.992	22.5774
NM_000068.4	8660	8416.5	0	0
NM_000069.3	6028	5784.5	2.59023e-06	2.25171e-08
NM_000070.3	3315	3071.5	0	0
NM_000071.3	2495	2251.5	1758.32	39.2704
NM_000072.3	2108	1864.5	0	0
NM_000073.3	2690	2446.5	0	0
NM_000074.3	1852	1608.5	4.73327	0.147972
NM_000075.4	1865	1621.5	4028.58	124.932
NM_000076.2	1943	1699.5	0	0
NM_000077.5	978	734.504	980.358	67.1167
NM_000078.3	1691	1447.5	0	0
NM_000079.4	1984	1740.5	0	0
NM_000080.4	2482	2238.5	9.31958	0.209353
NM_000081.4	13466	13222.5	510.618	1.94188
NM_000082.4	9414	9170.5	137.184	0.752231
NM_000083.3	3187	2943.5	0	0
NM_000084.5	9472	9228.5	882.644	4.80944
NM_000085.5	2562	2318.5	6.54702	0.141996
NM_000086.2	1879	1635.5	119.842	3.68466
NM_000087.5	2784	2540.5	32.6788	0.646825
NM_000088.4	5914	5670.5	387	3.43186
NM_000089.4	5072	4828.5	0	0
NM_000090.4	5490	5246.5	81	0.776346
NM_000091.5	8038	7794.5	0.304872	0.00196684
NM_000092.5	9984	9740.5	0	0
NM_000093.5	8442	8198.5	761.043	4.66783
NM_000094.4	9231	8987.5	939.589	5.25701
NM_000095.3	2452	2208.5	23	0.523685
NM_000096.4	4452	4208.5	0	0
NM_000097.7	2709	2465.5	785.604	16.0228
NM_000098.3	2699	2455.5	898.053	18.3909
